0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
0.05,1000,1000,1000,1000,1000,1000,0.10862,0.21945,0.33189,0.44578,0.56094,0.67721,0.79447,0.9126,1.0315,1.1511,1.2713,1.3922,1.5135,1.6353
0.1,1000,1000,1000,1000,1000,1000,0.13617,0.27548,0.41718,0.56094,0.70644,0.85343,1.0017,1.1511,1.3015,1.4527,1.6048,1.7575,1.9108,2.0647
0.15,1000,1000,1000,1000,1000,1000,0.18232,0.3697,0.56094,0.75528,0.95215,1.1511,1.3518,1.554,1.7575,1.9621,2.1676,2.3741,2.5812,2.7891
0.2,1000,1000,1000,1000,1000,1000,0.27548,0.56094,0.85343,1.1511,1.4527,1.7575,2.0647,2.3741,2.6851,2.9976,3.3115,3.6265,3.9425,4.2595
0.25,1000,1000,1000,1000,1000,1000,0.56094,1.1511,1.7575,2.3741,2.9976,3.6265,4.2595,4.8959,5.5352,6.1771,6.8213,7.4677,8.1161,8.7664
0.3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.35,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.45,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.55,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.6,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.65,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.7,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.75,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.8,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.9,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0.95,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
